trained_up_to_task,eval_task,model,lambda_ewc,buffer_size,seed,recall@10,ndcg@10,forgetting_recall,forgetting_ndcg
0,0,hybrid,1.0,5000,42,1.0,0.9266508426426006,,
0,avg,hybrid,1.0,5000,42,1.0,0.9266508426426006,0.0,0.0
1,0,hybrid,1.0,5000,42,1.0,0.9253594842384211,,
1,1,hybrid,1.0,5000,42,1.0,0.9239538832975004,,
1,avg,hybrid,1.0,5000,42,1.0,0.9246566837679607,0.0,0.0012913584041794879
2,0,hybrid,1.0,5000,42,1.0,0.9269091143234365,,
2,1,hybrid,1.0,5000,42,1.0,0.922915711055828,,
2,2,hybrid,1.0,5000,42,1.0,0.9259768486698357,,
2,avg,hybrid,1.0,5000,42,1.0,0.9252672246830334,0.0,0.00038995028041821644
3,0,hybrid,1.0,5000,42,1.0,0.9269091143234365,,
3,1,hybrid,1.0,5000,42,1.0,0.9182439359683024,,
3,2,hybrid,1.0,5000,42,1.0,0.9272314783533977,,
3,3,hybrid,1.0,5000,42,1.0,0.9315299569751343,,
3,avg,hybrid,1.0,5000,42,1.0,0.9259786214050677,0.0,0.0014851058818786307
4,0,hybrid,1.0,5000,42,1.0,0.9287170160892879,,
4,1,hybrid,1.0,5000,42,1.0,0.9252515985995908,,
4,2,hybrid,1.0,5000,42,1.0,0.9278587931951787,,
4,3,hybrid,1.0,5000,42,1.0,0.9279513832978764,,
4,4,hybrid,1.0,5000,42,1.0,0.9263557386576546,,
4,avg,hybrid,1.0,5000,42,1.0,0.9272269059679177,0.0,-3.85895581162532e-05
