trained_up_to_task,eval_task,model,lambda_ewc,buffer_size,seed,recall@10,ndcg@10,forgetting_recall,forgetting_ndcg
0,0,hybrid,100.0,5000,42,1.0,0.9266508426426006,,
0,avg,hybrid,100.0,5000,42,1.0,0.9266508426426006,0.0,0.0
1,0,hybrid,100.0,5000,42,1.0,0.9258760276000928,,
1,1,hybrid,100.0,5000,42,1.0,0.9234347971766642,,
1,avg,hybrid,100.0,5000,42,1.0,0.9246554123883786,0.0,0.0007748150425077593
2,0,hybrid,100.0,5000,42,1.0,0.9292335594509598,,
2,1,hybrid,100.0,5000,42,1.0,0.9213584526933195,,
2,2,hybrid,100.0,5000,42,1.0,0.9234675893027113,,
2,avg,hybrid,100.0,5000,42,1.0,0.9246865338156636,0.0,-0.00025318616250724624
3,0,hybrid,100.0,5000,42,1.0,0.928458744408452,,
3,1,hybrid,100.0,5000,42,1.0,0.9244729694183366,,
3,2,hybrid,100.0,5000,42,1.0,0.9278587931951787,,
3,3,hybrid,100.0,5000,42,1.0,0.9317685285536181,,
3,avg,hybrid,100.0,5000,42,1.0,0.9281397588938963,0.0,-0.0015515203638773272
4,0,hybrid,100.0,5000,42,1.0,0.9305249178551392,,
4,1,hybrid,100.0,5000,42,1.0,0.9247325124787547,,
4,2,hybrid,100.0,5000,42,1.0,0.9295316327732616,,
4,3,hybrid,100.0,5000,42,1.0,0.928667098033328,,
4,4,hybrid,100.0,5000,42,1.0,0.9252945821541627,,
4,avg,hybrid,100.0,5000,42,1.0,0.9277501486589292,0.0,-3.057763059757801e-05
