trained_up_to_task,eval_task,model,lambda_ewc,seed,recall@10,ndcg@10,forgetting_recall,forgetting_ndcg
0,0,ewc,100.0,42,1.0,0.9266508426426006,,
0,avg,ewc,100.0,42,1.0,0.9266508426426006,0.0,0.0
1,0,ewc,100.0,42,1.0,0.9266508426426006,,
1,1,ewc,100.0,42,1.0,0.9239538832975004,,
1,avg,ewc,100.0,42,1.0,0.9253023629700505,0.0,0.0
2,0,ewc,100.0,42,1.0,0.9271673860042724,,
2,1,ewc,100.0,42,1.0,0.9231752541162461,,
2,2,ewc,100.0,42,1.0,0.9234675893027113,,
2,avg,ewc,100.0,42,1.0,0.9246034098077432,0.0,0.00013104290979121247
3,0,ewc,100.0,42,1.0,0.9276839293659442,,
3,1,ewc,100.0,42,1.0,0.9200607373912291,,
3,2,ewc,100.0,42,1.0,0.927440583300658,,
3,3,ewc,100.0,42,1.0,0.9317685285536181,,
3,avg,ewc,100.0,42,1.0,0.9267384446528624,0.0,-0.00019879715111574084
4,0,ewc,100.0,42,1.0,0.9282004727276161,,
4,1,ewc,100.0,42,1.0,0.9252515985995908,,
4,2,ewc,100.0,42,1.0,0.9272314783533977,,
4,3,ewc,100.0,42,1.0,0.9310528138181665,,
4,4,ewc,100.0,42,1.0,0.9286902829653371,,
4,avg,ewc,100.0,42,1.0,0.9280853292928217,0.0,-0.00022235974526257918
