Method,Stored samples,ACC Recall@10,ACC NDCG@10,BWT Recall@10,BWT NDCG@10,Forgetting NDCG (Chaudhry),% of joint NDCG
Baseline (sequential),0,0.48719081898330163,0.2633678765204613,-0.014251440605074911,-0.00922894556073154,0.0103790767356619,98.7
Replay,"5,000",0.48665345436790075,0.2608173374218151,-0.01213323737727881,-0.009270920478818646,0.0108791962992409,97.7
EWC (λ=10),0,0.4926925774763575,0.26466483752916437,-0.003873411068134644,-0.006210188103342805,0.00780853426917,99.1
EWC (λ=100),0,0.4973786399832095,0.27087804086103395,0.0036953729323264822,0.0032633170188608104,-0.0010626133505629,101.5
Hybrid (λ=10),"5,000",0.4870368002494798,0.26232995228578493,-0.013172836371959012,-0.007821242572100373,0.0078212425721003,98.3
Hybrid (λ=100),"5,000",0.49581635952383446,0.2700142562492368,-0.000275960811895376,0.0037108351495865957,-0.0029954688059857,101.2
Joint (upper bound),all (~4.96M),0.4958003022156185,0.26694438539088955,,,0.0,100.0
